yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1985,AL,LOT,LOT,Lotte Giants,Gudeok Baseball Stadium,,,,,,,,,11724,,,288,312,336,360,336,312,288,7,7,7,7,7,7,7,1.010586352,0.972550358,0.943948169,1.044274903,0.985316528,0.981785272,1.043162742,0.981511752,0.988876794,0.97198952,1.009894556,0.99869696,
1985,AL,SAM,SAM,Samsung Lions,Daegu Citizen Baseball Stadium,,,,,,,,,10000,,,321,339,356,374,356,339,321,9,9,9,9,9,9,9,0.996253513,0.992005214,1.024326573,1.012794941,0.998590069,1.018198735,1.048640666,1.02750524,1.001249097,1.024173591,1.043272673,0.996495666,
1985,AL,HAI,HAI,Haitai Tigers,Mudeung Baseball Stadium,,,,,,,,,12500,,,321,339,356,374,356,339,321,22,22,22,22,22,22,22,0.996800234,1.072214778,1.0169759,0.977554587,1.010876214,1.045559779,0.992807279,1.021921258,1.000998151,1.061316058,0.98047067,0.983185244,
1985,AL,MBC,MBC,MBC Chungryong,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.98915074,0.948633922,0.962461386,0.939035397,0.99917995,0.950430524,0.948827657,0.934613848,0.997304795,0.935791094,0.951471254,0.927116257,
1986,AL,BGR,BGR,Bingre Eagles,Hanwha Life Eagles Park,,,,,,,,,10500,,,321,339,356,374,356,339,321,8,8,8,8,8,8,8,1.012083955,0.99264355,0.983066319,1.060345611,0.992679778,0.979774983,1.03854296,1.045718769,1.007233287,1.003904505,1.00618866,1.053762771,
1986,AL,CHB,SM,Cheongbo Pintos,Sungui baseball stadium,,,,,,,,,12000,,,298,319,339,360,339,319,298,16,16,16,16,16,16,16,0.990864147,1.03286044,1.02104897,1.002954786,1.011920488,1.042191389,0.999444612,1.02149624,1.001857945,1.021243576,0.987170095,1.052692668,
1986,AL,LOT,LOT,Lotte Giants,Gudeok Baseball Stadium,,,,,,,,,11724,,,288,312,336,360,336,312,288,7,7,7,7,7,7,7,1.013651478,0.980525016,0.960425596,1.049377432,0.985761915,0.988063101,1.038922147,0.988045403,0.989903237,0.98101922,1.024227161,1.011289488,
1986,AL,SAM,SAM,Samsung Lions,Daegu Citizen Baseball Stadium,,,,,,,,,10000,,,321,339,356,374,356,339,321,9,9,9,9,9,9,9,0.999275168,1.000139396,1.042207074,1.017743653,0.999041457,1.024709403,1.044377802,1.034345057,1.002288382,1.033688077,1.058078987,1.009060437,
1986,AL,HAI,HAI,Haitai Tigers,Mudeung Baseball Stadium,,,,,,,,,12500,,,321,339,356,374,356,339,321,22,22,22,22,22,22,22,0.999823547,1.081006657,1.034728088,0.982331107,1.011333155,1.052245401,0.988771386,1.028723905,1.002037176,1.071175594,0.994385686,0.995582185,
1986,AL,MBC,MBC,MBC Chungryong,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.992150852,0.956412471,0.979261977,0.943623706,0.999631604,0.956507861,0.944970546,0.940835313,0.998339986,0.944484514,0.964974706,0.938806226,
1986,AL,OB,OB,OB Bears,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.992150852,0.956412471,0.979261977,0.943623706,0.999631604,0.956507861,0.944970546,0.940835313,0.998339986,0.944484514,0.964974706,0.938806226,
1987,AL,LOT,LOT,Lotte Giants,Sajik Baseball Stadium,,,,,,,,,30154,,,311,336,362,387,362,336,311,15,15,15,15,15,15,15,1.0109624,1.038680037,1.018082859,1.053539865,1.005514559,1.027744824,1.001662516,1.025797658,1.001075155,1.021027477,0.993916017,1.055918832,
1987,AL,BGR,BGR,Bingre Eagles,Hanwha Life Eagles Park,,,,,,,,,10500,,,321,339,356,374,356,339,321,8,8,8,8,8,8,8,1.012538585,0.983053477,0.9736814,1.059603904,0.989419507,0.973307989,1.045034358,1.039152145,1.005360984,0.997231536,1.01129239,1.045909872,
1987,AL,CHB,SM,Cheongbo Pintos,Sungui baseball stadium,,,,,,,,,12000,,,298,319,339,360,339,319,298,16,16,16,16,16,16,16,0.991309245,1.022881825,1.011301447,1.002253224,1.008597024,1.035312416,1.005691626,1.015081723,0.999995633,1.014455354,0.992177356,1.044847743,
1987,AL,SAM,SAM,Samsung Lions,Daegu Citizen Baseball Stadium,,,,,,,,,10000,,,321,339,356,374,356,339,321,9,9,9,9,9,9,9,0.999724044,0.990476904,1.032257564,1.017031746,0.995760291,1.017945819,1.05090567,1.027849855,1.00042527,1.026817136,1.063445922,1.00154067,
1987,AL,HAI,HAI,Haitai Tigers,Mudeung Baseball Stadium,,,,,,,,,12500,,,321,339,356,374,356,339,321,22,22,22,22,22,22,22,1.000272669,1.070562895,1.024849977,0.981643971,1.00801162,1.045300067,0.994951687,1.022264001,1.000174531,1.064055473,0.999429547,0.988162861,
1987,AL,MBC,MBC,MBC Chungryong,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.992596528,0.947172431,0.969913377,0.942963645,0.9963485,0.950194442,0.950877071,0.934927309,0.996484214,0.938206511,0.969869384,0.931810011,
