LahmanPlayerID,Year,UniNo,dummy,dummy,dummy,dummy
50556,2025,56,,,,
50556,2024,56,,,,
50556,2023,18,,,,
50556,2022,56,,,,
50556,2021,56,,,,
50556,2020,56,,,,
50558,2023,58,,,,
50558,2022,58,,,,
50558,2021,58,,,,
50558,2020,58,,,,
50563,2022,63,,,,
50563,2021,63,,,,
50563,2020,63,,,,
50573,2022,46,,,,
50573,2020,73,,,,
50592,2024,117,,,,
50592,2023,111,,,,
50592,2022,61,,,,
50592,2021,61,,,,
50592,2020,92,,,,
50596,2025,38,,,,
50596,2024,38,,,,
50596,2023,106,,,,
50596,2022,18,,,,
50596,2021,18,,,,
50596,2020,96,,,,
50600,2025,6,,,,
50600,2024,6,,,,
50600,2023,6,,,,
50600,2021,0,,,,
50600,2020,0,,,,
50604,2025,4,,,,
50604,2024,4,,,,
50604,2023,4,,,,
50604,2020,4,,,,
50608,2025,54,,,,
50608,2024,54,,,,
50608,2022,8,,,,
50608,2021,8,,,,
50608,2020,8,,,,
50636,2021,36,,,,
50636,2020,36,,,,
50640,2020,40,,,,
50641,2025,38,,,,
50641,2024,65,,,,
50641,2022,56,,,,
50641,2021,40,,,,
50641,2020,40,,,,
50650,2024,115,,,,
50650,2022,43,,,,
50650,2021,69,,,,
50650,2020,50,,,,
50657,2025,2,,,,
50657,2024,37,,,,
50657,2022,42,,,,
50657,2021,57,,,,
50657,2020,57,,,,
50662,2025,62,,,,
50662,2024,62,,,,
50662,2023,62,,,,
50662,2022,62,,,,
50662,2021,62,,,,
50662,2020,62,,,,
50704,2025,24,,,,
50704,2024,24,,,,
50704,2022,24,,,,
50704,2021,24,,,,
50704,2020,96,,,,
50705,2023,55,,,,
50705,2022,55,,,,
50705,2021,55,,,,
50705,2020,62,,,,
50706,2022,46,,,,
50706,2021,46,,,,
50706,2020,48,,,,
50707,2025,41,,,,
50707,2024,41,,,,
50707,2023,41,,,,
50707,2021,34,,,,
50707,2020,34,,,,
50709,2025,63,,,,
50709,2024,9,,,,
50709,2023,9,,,,
50709,2022,9,,,,
50709,2021,9,,,,
50709,2020,56,,,,
50711,2025,14,,,,
50711,2024,69,,,,
50711,2021,94,,,,
50711,2020,111,,,,
50720,2024,11,,,,
50720,2023,11,,,,
50720,2022,11,,,,
50720,2021,10,,,,
50720,2020,20,,,,
50726,2024,59,,,,
50726,2023,59,,,,
50726,2022,59,,,,
50726,2021,59,,,,
50726,2020,26,,,,
50730,2020,30,,,,
50758,2023,40,,,,
50758,2022,40,,,,
50758,2021,40,,,,
50758,2020,58,,,,
50812,2025,57,,,,
50813,2025,101,,,,
50815,2022,20,,,,
50815,2021,20,,,,
50840,2025,8,,,,
50848,2025,56,,,,
50854,2025,54,,,,
50868,2025,45,,,,
50900,2024,12,,,,
50900,2023,109,,,,
50900,2021,92,,,,
50900,2020,0,,,,
50901,2025,119,,,,
50901,2024,87,,,,
50901,2022,42,,,,
50901,2021,31,,,,
50901,2020,0,,,,
50902,2025,68,,,,
50902,2024,68,,,,
50902,2023,68,,,,
50902,2022,68,,,,
50902,2020,102,,,,
50903,2025,35,,,,
50903,2024,35,,,,
50903,2023,85,,,,
50903,2021,85,,,,
50903,2020,103,,,,
50904,2025,40,,,,
50904,2021,90,,,,
50904,2020,104,,,,
50905,2022,61,,,,
50905,2021,78,,,,
50905,2020,100,,,,
50906,2025,39,,,,
50906,2024,101,,,,
50906,2023,0,,,,
50906,2020,106,,,,
50912,2020,12,,,,
50923,2021,23,,,,
50923,2020,23,,,,
50992,2025,11,,,,
50992,2024,113,,,,
50992,2023,60,,,,
50992,2022,60,,,,
50992,2021,60,,,,
50992,2020,92,,,,
50995,2023,56,,,,
50995,2022,71,,,,
50995,2021,95,,,,
50995,2020,95,,,,
50996,2025,53,,,,
50996,2024,39,,,,
50996,2023,28,,,,
50996,2022,43,,,,
50996,2021,43,,,,
50996,2020,96,,,,
51003,2024,52,,,,
51003,2022,3,,,,
51003,2021,3,,,,
51004,2021,4,,,,
51005,2024,0,,,,
51005,2023,32,,,,
51005,2021,0,,,,
51007,2024,69,,,,
51007,2023,69,,,,
51007,2022,69,,,,
51007,2021,101,,,,
51009,2022,96,,,,
51009,2021,109,,,,
51013,2024,116,,,,
51013,2022,13,,,,
51013,2021,13,,,,
51057,2024,47,,,,
51057,2022,109,,,,
51057,2021,57,,,,
51058,2024,59,,,,
51058,2022,110,,,,
51058,2021,58,,,,
51060,2022,61,,,,
51060,2021,60,,,,
51097,2024,48,,,,
51097,2023,48,,,,
51097,2022,97,,,,
51097,2021,97,,,,
51100,2025,7,,,,
51100,2023,0,,,,
51100,2022,0,,,,
51100,2021,0,,,,
51103,2024,105,,,,
51103,2022,95,,,,
51103,2021,108,,,,
51110,2025,105,,,,
51110,2021,101,,,,
51111,2025,13,,,,
51111,2022,48,,,,
51111,2021,111,,,,
51136,2021,36,,,,
51143,2022,43,,,,
51143,2021,43,,,,
51144,2022,44,,,,
51144,2021,44,,,,
51154,2025,45,,,,
51154,2022,54,,,,
51154,2021,54,,,,
51163,2025,101,,,,
51163,2022,63,,,,
51163,2021,63,,,,
51200,2025,100,,,,
51200,2024,109,,,,
51200,2023,119,,,,
