playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,Arm Slot.1,Name_ko,High,position
73746,73746,,,1975.0,10.0,19.0,Venezuela,,,,,,,,,Horacio,Estrada,,,,174.0,72.0,L,L,,,,,,,,2073746,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,에스트라다,,
53665,53665,,,1994.0,10.0,31.0,Venezuela,,,,,,,,,Mario,Sanchez,,,,165.0,73.0,R,R,,,,,,,,2053665,,1.0,4.0,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,산체스,,
66032,66032,,,1983.0,12.0,26.0,Venezuela,,,,,,,,,Yohan,Pino,,,,190.0,74.0,R,R,,,,,,,,2066032,,1.0,5.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,피노,,
71353,71353,,,1974.0,1.0,28.0,Venezuela,,,,,,,,,Oscar,Henriquez,,,,229.0,78.0,R,R,,,,,,,,2071353,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,엔리케스,,
61231,61231,,,1982.0,7.0,15.0,Venezuela,,,,,,,,,Fernando,Nieve,,,,220.0,72.0,R,R,,,,,,,,2061231,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,페르난도,,
78868,78868,,,1972.0,11.0,15.0,Venezuela,,,,,,,,,Darwin,Cubillan,,,,181.0,74.0,R,R,,,,,,,,2078868,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,쿠비얀,,
74123,74123,,,1970.0,2.0,1.0,Venezuela,,,,,,,,,Edwin,Hurtado,,,,194.0,74.0,R,R,,,,,,,,2074123,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,후타도,,
77503,77503,,,1972.0,10.0,13.0,Venezuela,,,,,,,,,Eduardo,Rios,,,,198.0,70.0,R,R,,,,,,,,2077503,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,리오스,,
55146,55146,,,1993.0,12.0,26.0,Venezuela,,,,,,,,,Yonny,Chrinos,,,,225.0,74.0,R,R,,,,,,,,2055146,,,,,4.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,치리노스,,
100037,100037,100037.0,,,,,Venezuela,,,,,,,,,Carlos,Subero,,,,,,,,,,,,,,,20100037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,,,수베로,,
